secType,conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,description,issuerId,comboLegsDescrip,comboLegs,deltaNeutralContract,contract_obj
OPT,654560670,SPY,20231118,449.0,P,100,SMART,,USD,SPY   231117P00449000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560670, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=449.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00449000', tradingClass='SPY')"
OPT,649699878,SPY,20231118,448.0,P,100,SMART,,USD,SPY   231117P00448000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699878, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=448.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00448000', tradingClass='SPY')"
OPT,634374738,SPY,20231118,450.0,P,100,SMART,,USD,SPY   231117P00450000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374738, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=450.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00450000', tradingClass='SPY')"
OPT,654560600,SPY,20231118,447.0,P,100,SMART,,USD,SPY   231117P00447000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560600, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=447.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00447000', tradingClass='SPY')"
OPT,654560745,SPY,20231118,451.0,P,100,SMART,,USD,SPY   231117P00451000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560745, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=451.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00451000', tradingClass='SPY')"
OPT,649699841,SPY,20231118,446.0,P,100,SMART,,USD,SPY   231117P00446000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699841, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=446.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00446000', tradingClass='SPY')"
OPT,649699919,SPY,20231118,452.0,P,100,SMART,,USD,SPY   231117P00452000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699919, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=452.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00452000', tradingClass='SPY')"
OPT,634374729,SPY,20231118,445.0,P,100,SMART,,USD,SPY   231117P00445000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374729, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=445.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00445000', tradingClass='SPY')"
OPT,654560812,SPY,20231118,453.0,P,100,SMART,,USD,SPY   231117P00453000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560812, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=453.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00453000', tradingClass='SPY')"
OPT,649699802,SPY,20231118,444.0,P,100,SMART,,USD,SPY   231117P00444000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699802, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=444.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00444000', tradingClass='SPY')"
OPT,649699949,SPY,20231118,454.0,P,100,SMART,,USD,SPY   231117P00454000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699949, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=454.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00454000', tradingClass='SPY')"
OPT,654560534,SPY,20231118,443.0,P,100,SMART,,USD,SPY   231117P00443000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560534, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=443.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00443000', tradingClass='SPY')"
OPT,634665025,SPY,20231118,455.0,P,100,SMART,,USD,SPY   231117P00455000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634665025, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=455.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00455000', tradingClass='SPY')"
OPT,649699766,SPY,20231118,442.0,P,100,SMART,,USD,SPY   231117P00442000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699766, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=442.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00442000', tradingClass='SPY')"
OPT,649699980,SPY,20231118,456.0,P,100,SMART,,USD,SPY   231117P00456000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649699980, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=456.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00456000', tradingClass='SPY')"
OPT,654560453,SPY,20231118,441.0,P,100,SMART,,USD,SPY   231117P00441000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560453, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=441.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00441000', tradingClass='SPY')"
OPT,654560889,SPY,20231118,457.0,P,100,SMART,,USD,SPY   231117P00457000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560889, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=457.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00457000', tradingClass='SPY')"
OPT,634374726,SPY,20231118,440.0,P,100,SMART,,USD,SPY   231117P00440000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634374726, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=440.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00440000', tradingClass='SPY')"
OPT,649700016,SPY,20231118,458.0,P,100,SMART,,USD,SPY   231117P00458000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=649700016, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=458.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00458000', tradingClass='SPY')"
OPT,634665005,SPY,20231118,439.0,P,100,SMART,,USD,SPY   231117P00439000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634665005, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=439.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00439000', tradingClass='SPY')"
OPT,654560985,SPY,20231118,459.0,P,100,SMART,,USD,SPY   231117P00459000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=654560985, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=459.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00459000', tradingClass='SPY')"
OPT,634664990,SPY,20231118,438.0,P,100,SMART,,USD,SPY   231117P00438000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664990, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=438.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00438000', tradingClass='SPY')"
OPT,634665040,SPY,20231118,460.0,P,100,SMART,,USD,SPY   231117P00460000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634665040, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=460.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00460000', tradingClass='SPY')"
OPT,634664975,SPY,20231118,437.0,P,100,SMART,,USD,SPY   231117P00437000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664975, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=437.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00437000', tradingClass='SPY')"
OPT,664738103,SPY,20231118,461.0,P,100,SMART,,USD,SPY   231117P00461000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=664738103, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=461.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00461000', tradingClass='SPY')"
OPT,634664954,SPY,20231118,436.0,P,100,SMART,,USD,SPY   231117P00436000,SPY,False,,,,,,[],,"Contract(secType='OPT', conId=634664954, symbol='SPY', lastTradeDateOrContractMonth='20231118', strike=436.0, right='P', multiplier='100', exchange='SMART', currency='USD', localSymbol='SPY   231117P00436000', tradingClass='SPY')"
