secType,conId,symbol,lastTradeDateOrContractMonth,strike,right,multiplier,exchange,primaryExchange,currency,localSymbol,tradingClass,includeExpired,secIdType,secId,description,issuerId,comboLegsDescrip,comboLegs,deltaNeutralContract
OPT,616712141,TSLA,20231118,110,C,100,SMART,,USD,TSLA  231117C00110000,TSLA,FALSE,,,,,,[],
OPT,616715126,TSLA,20231118,110,P,100,SMART,,USD,TSLA  231117P00110000,TSLA,FALSE,,,,,,[],
OPT,616712180,TSLA,20231118,115,C,100,SMART,,USD,TSLA  231117C00115000,TSLA,FALSE,,,,,,[],
OPT,616715160,TSLA,20231118,115,P,100,SMART,,USD,TSLA  231117P00115000,TSLA,FALSE,,,,,,[],
OPT,616712223,TSLA,20231118,120,C,100,SMART,,USD,TSLA  231117C00120000,TSLA,FALSE,,,,,,[],
OPT,616715199,TSLA,20231118,120,P,100,SMART,,USD,TSLA  231117P00120000,TSLA,FALSE,,,,,,[],
OPT,616712261,TSLA,20231118,125,C,100,SMART,,USD,TSLA  231117C00125000,TSLA,FALSE,,,,,,[],
OPT,616715242,TSLA,20231118,125,P,100,SMART,,USD,TSLA  231117P00125000,TSLA,FALSE,,,,,,[],
OPT,616712296,TSLA,20231118,130,C,100,SMART,,USD,TSLA  231117C00130000,TSLA,FALSE,,,,,,[],
OPT,616715282,TSLA,20231118,130,P,100,SMART,,USD,TSLA  231117P00130000,TSLA,FALSE,,,,,,[],
OPT,616712332,TSLA,20231118,135,C,100,SMART,,USD,TSLA  231117C00135000,TSLA,FALSE,,,,,,[],
OPT,616715327,TSLA,20231118,135,P,100,SMART,,USD,TSLA  231117P00135000,TSLA,FALSE,,,,,,[],
OPT,616712363,TSLA,20231118,140,C,100,SMART,,USD,TSLA  231117C00140000,TSLA,FALSE,,,,,,[],
OPT,616715350,TSLA,20231118,140,P,100,SMART,,USD,TSLA  231117P00140000,TSLA,FALSE,,,,,,[],
OPT,616712392,TSLA,20231118,145,C,100,SMART,,USD,TSLA  231117C00145000,TSLA,FALSE,,,,,,[],
OPT,616715387,TSLA,20231118,145,P,100,SMART,,USD,TSLA  231117P00145000,TSLA,FALSE,,,,,,[],
OPT,616712426,TSLA,20231118,150,C,100,SMART,,USD,TSLA  231117C00150000,TSLA,FALSE,,,,,,[],
OPT,616715423,TSLA,20231118,150,P,100,SMART,,USD,TSLA  231117P00150000,TSLA,FALSE,,,,,,[],
OPT,616712463,TSLA,20231118,155,C,100,SMART,,USD,TSLA  231117C00155000,TSLA,FALSE,,,,,,[],
OPT,616715453,TSLA,20231118,155,P,100,SMART,,USD,TSLA  231117P00155000,TSLA,FALSE,,,,,,[],
OPT,616712508,TSLA,20231118,160,C,100,SMART,,USD,TSLA  231117C00160000,TSLA,FALSE,,,,,,[],
OPT,616715483,TSLA,20231118,160,P,100,SMART,,USD,TSLA  231117P00160000,TSLA,FALSE,,,,,,[],
OPT,616712543,TSLA,20231118,165,C,100,SMART,,USD,TSLA  231117C00165000,TSLA,FALSE,,,,,,[],
OPT,616715495,TSLA,20231118,165,P,100,SMART,,USD,TSLA  231117P00165000,TSLA,FALSE,,,,,,[],
OPT,616712583,TSLA,20231118,170,C,100,SMART,,USD,TSLA  231117C00170000,TSLA,FALSE,,,,,,[],
